family,dataset_id,model,selector,folds,accuracy_delta_mean,accuracy_delta_std,wins,ties,losses
bert,imdb,bert_cls,dfs,5,-0.04699999999999997,0.015247950681976884,0,0,5
bert,imdb,bert_cls,ig,5,-0.03799999999999999,0.02049390153191917,0,0,5
bert,imdb,bert_cnn,df,5,-0.011999999999999988,0.04236744032862971,3,0,2
bert,imdb,bert_cnn,dfs,5,-0.03599999999999996,0.04292435206266951,1,0,4
bert,imdb,bert_cnn,ig,5,-0.039999999999999966,0.018708286933869694,0,0,5
bert,imdb,bert_mean,df,5,-0.023999999999999976,0.03714835124201341,1,1,3
bert,imdb,bert_mean,dfs,5,-0.019999999999999997,0.028062430400804556,1,1,3
bert,imdb,bert_mean,ig,5,-0.029000000000000005,0.01816590212458494,0,0,5
classic,imdb,fasttext_cnn,df,5,0.026000000000000023,0.04655641738793916,3,0,2
classic,imdb,fasttext_cnn,dfs,5,0.03600000000000003,0.03895510236156494,4,0,1
classic,imdb,fasttext_cnn,ig,5,0.04200000000000004,0.042807709586008026,4,0,1
classic,imdb,fasttext_lstm,df,5,-0.05600000000000001,0.06767569726275453,1,0,4
classic,imdb,fasttext_lstm,dfs,5,0.05600000000000003,0.04878524367060188,4,0,1
classic,imdb,fasttext_lstm,ig,5,0.04300000000000002,0.03251922508301821,4,0,1
gcn,imdb,fasttext_residual_word_gcn,df,5,-0.018000000000000016,0.07661592523751182,2,0,3
gcn,imdb,fasttext_residual_word_gcn,dfs,5,0.06399999999999999,0.061379964157695636,4,0,1
gcn,imdb,fasttext_residual_word_gcn,ig,5,0.06200000000000001,0.04338778629983325,5,0,0
classic,imdb,fasttext_wa,df,5,-0.004000000000000026,0.019170289512680804,2,0,3
classic,imdb,fasttext_wa,dfs,5,0.006999999999999984,0.01350925608610628,4,0,1
classic,imdb,fasttext_wa,ig,5,0.012999999999999989,0.0351069793630839,3,1,1
classic,imdb,random_cnn,df,5,0.03500000000000001,0.025000000000000015,4,0,1
classic,imdb,random_cnn,dfs,5,0.029000000000000005,0.025836021365527644,4,0,1
classic,imdb,random_cnn,ig,5,0.031000000000000028,0.02815137652051852,4,1,0
classic,imdb,random_lstm,df,5,0.007999999999999985,0.04671723450719227,3,0,2
