family,dataset_id,model,selector,feature_count,folds,accuracy_delta_mean,accuracy_delta_std,wins,ties,losses
classic,amazon_review_full,fasttext_cnn,ig,2000,5,0.011085782447591497,0.04058222082336182,4,0,1
classic,amazon_review_full,fasttext_lstm,df,500,5,-0.02206060606060607,0.04267587710504649,1,1,3
classic,amazon_review_full,fasttext_lstm,df,1000,5,0.008974874371859287,0.03232087305253227,2,1,2
classic,amazon_review_full,fasttext_lstm,df,1500,5,-0.019111111111111113,0.03711551870033696,1,1,3
classic,amazon_review_full,fasttext_lstm,df,2000,5,-0.021111060352266387,0.019674751147390153,0,1,4
classic,amazon_review_full,fasttext_lstm,dfs,500,5,0.04120186792548601,0.032949943534548234,5,0,0
classic,amazon_review_full,fasttext_lstm,dfs,1000,5,0.05310070554794172,0.04053075617082255,5,0,0
classic,amazon_review_full,fasttext_lstm,dfs,1500,5,0.05113085630171057,0.03388550894179259,5,0,0
classic,amazon_review_full,fasttext_lstm,dfs,2000,5,0.03807025024110451,0.04209192978892861,3,1,1
classic,amazon_review_full,fasttext_lstm,ig,500,5,0.04603009999492411,0.04114844431622471,4,0,1
classic,amazon_review_full,fasttext_lstm,ig,1000,5,0.01602512562814069,0.009647200791893632,4,1,0
classic,amazon_review_full,fasttext_lstm,ig,1500,5,0.03305030201512613,0.02196597419783664,5,0,0
classic,amazon_review_full,fasttext_lstm,ig,2000,5,0.007030201512613565,0.019251098254274682,3,1,1
classic,amazon_review_full,fasttext_wa,df,500,5,0.0050405055580935,0.046958147230800266,3,0,2
classic,amazon_review_full,fasttext_wa,df,1000,5,0.018020455814425674,0.047503623759285414,3,0,2
classic,amazon_review_full,fasttext_wa,df,1500,5,-0.006994670321303476,0.05495253628823223,3,0,2
classic,amazon_review_full,fasttext_wa,df,2000,5,-0.0059493426729607555,0.035229891578740485,2,1,2
classic,amazon_review_full,fasttext_wa,dfs,500,5,0.005025430181209078,0.0359838206502817,3,0,2
classic,amazon_review_full,fasttext_wa,dfs,1000,5,0.003025430181209077,0.0486308801020266,3,0,2
classic,amazon_review_full,fasttext_wa,dfs,1500,5,0.012025582457743256,0.04811603562229081,3,1,1
classic,amazon_review_full,fasttext_wa,dfs,2000,5,-0.003989645195675351,0.03504952232010138,3,0,2
classic,amazon_review_full,fasttext_wa,ig,500,5,-0.010025024110451242,0.03110437170580438,2,1,2
classic,amazon_review_full,fasttext_wa,ig,1000,5,0.021111314146490034,0.056958083633352814,3,0,2
classic,amazon_review_full,fasttext_wa,ig,1500,5,-0.020999746205776347,0.04064459400078311,1,1,3
classic,amazon_review_full,fasttext_wa,ig,2000,5,-0.0010099994924115507,0.02045994445037278,3,0,2
classic,amazon_review_full,random_cnn,df,500,5,0.004126034211461338,0.03611706169965555,2,0,3
classic,amazon_review_full,random_cnn,df,1000,5,0.009146286990508078,0.04563575740544348,4,0,1
classic,amazon_review_full,random_cnn,df,1500,5,0.017166489010710117,0.04527605708426913,3,0,2
classic,amazon_review_full,random_cnn,df,2000,5,0.005166285975331186,0.05643433762739009,2,1,2
classic,amazon_review_full,random_cnn,dfs,500,5,0.031206842292269422,0.042883603476383474,3,1,1
classic,amazon_review_full,random_cnn,dfs,1000,5,0.0150453276483427,0.015823385970579196,4,0,1
classic,amazon_review_full,random_cnn,dfs,1500,5,-0.001888838130044168,0.03875004382285373,1,1,3
