family,dataset_id,model,selector,feature_count,folds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,best_epoch_mean,best_epoch_std
classic,20ng,random_wa,dfs,2000,5,0.6129980613728542,0.020422247980076424,0.6096250679725729,0.027451791505211477,0.6082074314574314,0.022339500256591597,100.4,24.22395508582362
classic,20ng,random_wa,dfs,500,5,0.567643547687677,0.034128394998062125,0.5624482603160029,0.03385434734466432,0.5665826118326118,0.03234227206488805,83.8,23.134389985474005
classic,20ng,random_wa,ig,1000,5,0.535400198964365,0.03298504394258756,0.5223474440305709,0.029700850256586617,0.5280151515151515,0.03003687693776338,135.8,39.06020993287159
classic,20ng,random_wa,ig,1500,5,0.5323342601331531,0.021216081985192814,0.5224272377822718,0.022049386136090594,0.5266356421356422,0.022672297398005997,135.8,42.02023322162789
classic,20ng,random_wa,ig,2000,5,0.5425074101471826,0.04684526387417792,0.5307178596675045,0.046105392827475694,0.5353820346320346,0.04575952857871106,112.0,26.115129714401192
classic,20ng,random_wa,ig,500,5,0.4871784812386807,0.05900427912707441,0.4765509274545338,0.05671744033709857,0.481515873015873,0.05835232023321556,132.0,48.43552415324934
classic,20ng,random_wa,none,all,5,0.5848057291533811,0.031029339908823603,0.5735639531786922,0.02868166119193637,0.5769101731601731,0.029125204699624003,139.8,46.42951647389837
classic,amazon_review_full,fasttext_cnn,df,1000,5,0.3740284757118928,0.029813558583912228,0.36749159817983124,0.026780716615669338,0.3738461538461539,0.029999315135728594,17.8,2.04939015319192
classic,amazon_review_full,fasttext_cnn,df,1500,5,0.34004888076747375,0.020748071745050885,0.3360887928406435,0.025729600787185704,0.33992307692307694,0.02093095471353969,27.2,10.986355173577815
classic,amazon_review_full,fasttext_cnn,df,2000,5,0.34914461194863206,0.03886539766865582,0.34432939927139156,0.0407077960832626,0.348974358974359,0.038636886614116364,20.8,4.266145801540309
classic,amazon_review_full,fasttext_cnn,df,500,5,0.373043601847622,0.025560157415814945,0.36721652008273215,0.02366562482671094,0.3726666666666667,0.026011648379400003,29.2,14.872793954062566
classic,amazon_review_full,fasttext_cnn,dfs,1000,5,0.36601837470179177,0.025632730327214987,0.3644455389418962,0.024194970678573582,0.3658205128205128,0.025908794158106888,13.4,4.03732584763727
classic,amazon_review_full,fasttext_cnn,dfs,1500,5,0.3579982234404345,0.025616127657940517,0.3569580696317219,0.02185749396791512,0.35784615384615387,0.025777425664692575,16.4,8.706319543871567
classic,amazon_review_full,fasttext_cnn,dfs,2000,5,0.343953048068626,0.03666721842455037,0.3337859559122003,0.030018268432722428,0.34392307692307694,0.03656258762640028,20.0,13.019216566291536
classic,amazon_review_full,fasttext_cnn,dfs,500,5,0.32712466372265364,0.0437197375858039,0.32484538825348835,0.04561461114641036,0.3271282051282051,0.0438139595405915,16.6,11.802542099056456
classic,amazon_review_full,fasttext_cnn,ig,1000,5,0.3600689305111416,0.025592447693087855,0.35659655814962415,0.022960037292777093,0.3598717948717949,0.02562355173823074,19.4,6.06630035524124
classic,amazon_review_full,fasttext_cnn,ig,1500,5,0.3480792345566215,0.033464134204285866,0.3487039400796465,0.031036094986693942,0.34805128205128205,0.03343726401171432,23.2,8.438009243891594
classic,amazon_review_full,fasttext_cnn,ig,2000,5,0.34108938632556723,0.048567463544342535,0.34142402331657296,0.04585409913202324,0.34087179487179486,0.04850166226639609,20.4,1.6733200530681511
classic,amazon_review_full,fasttext_cnn,ig,500,5,0.3440385767219938,0.03060512997173765,0.33732986686650623,0.027941456688239667,0.3437435897435897,0.030575431345647188,21.0,12.649110640673518
classic,amazon_review_full,fasttext_cnn,none,all,5,0.3300036038779757,0.03236629364924945,0.3218238124777202,0.03549218386028709,0.32971794871794874,0.032708442473969604,23.4,7.26636084983398
classic,amazon_review_full,fasttext_lstm,df,1000,5,0.3329379726917415,0.03480684735586297,0.32717730311947946,0.03209577179125371,0.33287179487179486,0.03490319570395317,16.8,2.7748873851023217
classic,amazon_review_full,fasttext_lstm,df,1500,5,0.30485198720877116,0.030593170984428857,0.30284949529161315,0.02860245221038649,0.3047435897435897,0.030631234354498493,15.4,5.594640292279746
classic,amazon_review_full,fasttext_lstm,df,2000,5,0.30285203796761584,0.016321228374143036,0.30322242432383567,0.016400756220635197,0.3028974358974359,0.016213666202593603,19.4,7.893034904268446
classic,amazon_review_full,fasttext_lstm,df,500,5,0.3019024922592762,0.029806289278553375,0.2966439676537638,0.0295816982593631,0.3018205128205128,0.029784371908660828,21.2,11.322543883774529
classic,amazon_review_full,fasttext_lstm,dfs,1000,5,0.37706380386782395,0.03111847358677979,0.3693809787872477,0.03246896371616436,0.3771025641025641,0.031125422297777587,13.8,10.47377677822093
classic,amazon_review_full,fasttext_lstm,dfs,1500,5,0.37509395462159284,0.02127995555212065,0.366621020740135,0.03021096981547117,0.374974358974359,0.021505698524659233,8.2,1.3038404810405297
classic,amazon_review_full,fasttext_lstm,dfs,2000,5,0.36203334856098673,0.03324519682639779,0.35151189140211336,0.03724392126070936,0.3620769230769231,0.03382276289632218,14.2,5.805170109479997
classic,amazon_review_full,fasttext_lstm,dfs,500,5,0.36516496624536826,0.04051719197595418,0.3547613170625363,0.03488633995792196,0.3651282051282051,0.039743072784065525,18.4,18.365728953678914
classic,amazon_review_full,fasttext_lstm,ig,1000,5,0.3399882239480229,0.014202777202753931,0.3334946601409708,0.0153233155511337,0.33999999999999997,0.01417116183468754,9.8,1.9235384061671346
classic,amazon_review_full,fasttext_lstm,ig,1500,5,0.3570134003350084,0.031094644952886417,0.35578103679425654,0.03166069148470565,0.35725641025641025,0.030954649655677267,16.4,4.39317652729776
classic,amazon_review_full,fasttext_lstm,ig,2000,5,0.3309932998324958,0.020871712080343104,0.32939214579580306,0.01871384518281519,0.3313846153846154,0.020869377104341412,20.2,8.167006795638168
